               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057007,            0.027142,                   0,             0.61433,             0.75573,             0.66067,             0.29176,            0.020654,            0.011063,                   0,             0.07028,           0.0033022,           0.0033022
                   1,            0.036012,            0.018781,                   0,             0.72393,             0.77863,             0.84679,             0.37154,            0.017299,           0.0054779,                   0,            0.039952,           0.0063071,           0.0063071
                   2,            0.031239,            0.016719,                   0,              0.7723,             0.83206,             0.83216,             0.45674,            0.016146,           0.0041555,                   0,           0.0092935,           0.0089819,           0.0089819
                   3,            0.027397,             0.01502,                   0,             0.94949,             0.86107,             0.96747,             0.40549,            0.013674,             0.00367,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.024366,            0.014344,                   0,             0.93084,             0.94656,             0.98037,             0.46812,            0.012894,           0.0031947,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.022764,            0.013439,                   0,             0.97935,             0.94656,             0.98891,             0.52267,            0.011296,           0.0031689,                   0,             0.00802,             0.00802,             0.00802
                   6,             0.02032,            0.012989,                   0,             0.97708,              0.9542,             0.98805,             0.54475,            0.010748,           0.0026393,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.017961,            0.012857,                   0,               0.977,             0.97261,             0.99198,             0.63057,           0.0092341,           0.0025306,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.017721,            0.012157,                   0,             0.98469,              0.9821,             0.99408,             0.60342,           0.0094417,           0.0026425,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.016626,            0.011844,                   0,             0.96301,             0.99369,             0.99417,             0.65281,           0.0097206,           0.0024715,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.016228,            0.011361,                   0,             0.99866,                   1,               0.995,             0.62237,           0.0095404,           0.0024351,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.015851,            0.011264,                   0,             0.98466,             0.98015,             0.99462,             0.65459,           0.0091646,           0.0024336,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.014839,            0.010997,                   0,              0.9924,             0.99687,             0.99477,             0.65064,           0.0087782,            0.002298,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.014349,            0.010966,                   0,             0.99989,             0.98473,             0.99485,             0.67931,           0.0078909,           0.0022621,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.014365,            0.010456,                   0,                   1,             0.99803,               0.995,             0.67595,           0.0076024,           0.0023659,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.013055,            0.010493,                   0,              0.9997,             0.99237,               0.995,              0.6532,           0.0078013,           0.0022828,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.013633,            0.010299,                   0,             0.99976,             0.98473,             0.99492,             0.66709,           0.0078334,           0.0022655,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.013033,            0.010383,                   0,             0.99995,             0.98473,             0.99485,             0.67406,           0.0077974,           0.0023551,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.012928,            0.010287,                   0,             0.99987,             0.99237,               0.995,             0.67658,           0.0077155,           0.0023248,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.012221,            0.010322,                   0,                   1,             0.98839,               0.995,             0.68934,           0.0077037,           0.0022654,                   0,             0.00109,             0.00109,             0.00109
